animeTitle	Follow Me
animeType	Music
animeNumEpisode	1
releaseDate	2012-10-31 00:00:00
endDate	
animeNumMembers	2309
animeScore	6.22
animeUsers	1491
animeRank	7577
animePopularity	9064
animeDescription	"A story about an unborn child who brought two unfortunate people together and gave them a second chance with a better future.

A beautiful alternative music video for Muse's song ""Follow Me"" animated by Tekken.
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
