animeTitle	Musekinin Galaxy☆Tylor
animeType	TV
animeNumEpisode	12
releaseDate	2017-07-11 00:00:00
endDate	2017-09-26 00:00:00
animeNumMembers	5394
animeScore	3.98
animeUsers	1476
animeRank	11945
animePopularity	6798
animeDescription	"Taking place in a very distant in future, the adventure begins when a boy meets a certain girl. The Pan Galaxy Republic has declined and so have many empires. This resulted to people in the galaxy being scattered. Living in the peaceful side of their world, Banjou, who picks up trashes at the spherical wall met a girl, frozen, in a broken spaceship. There are bad guys who chase her, and thus, the quiet galaxy suddenly became lively. Little did he know that the frozen girl is Goza 168th, the key to decide the destiny of the whole universe. Overcoming hardship, the two embarks on a trip to make the Galaxy Republic alive again. It may be a difficult challenge, but it's alright, let's progress slowly! A comedy of irresponsible galaxy trip begins!

(Source: MAL News)"
animeRelated	['Musekinin Kanchou Tylor']
animeCharacters	['Goza 168-sei', 'Tylor, Banjou Ueki', 'Yamamoto', 'Yamamoto 372-gou', 'Dolly']
animeVoices	['Takao, Kanon', 'Kotama, Hikaru', 'Eguchi, Takuya', 'Higuchi, Hina', 'Suwa, Ayaka']
animeStaff	[['Kimura, Hiroshi', 'Director'], ['Shibata, Katsutoshi', 'Sound Director'], ['Hikanon', 'Theme Song Performance'], ['Kitakata, Natsuki', 'Character Design']]
