animeTitle	Blue Seed 2
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	2419
animeRank	
animePopularity	6569
animeDescription	"A renegade scientist in San Francisco has found a way to create a new creature called a Neo-Aragami without the power of Susanoo. When these monsters start to terrorize California, the U.S. turns to the old members of the Terrestrial Administration Center (TAC) for help. 

(Source: ANN)
"
animeRelated	['Blue Seed']
animeCharacters	['Kusanagi, Mamoru', 'Fujimiya, Momiji', 'Sawaguchi, Koume', 'Takeuchi, Ryoko', 'Tachibana, Valencia', 'Kunikida, Daitetsu', 'Yamazaki, Sakura', 'Yaegashi, Yoshiki', 'Matsudaira, Azusa', 'Sugishita, Shunichi']
animeVoices	['Inoue, Kazuhiko', 'Hayashibara, Megumi', 'Mitsuishi, Kotono', 'Orikasa, Ai', 'Iwao, Junko', 'Ootsuka, Akio', 'Tamagawa, Sakiko']
animeStaff	[['Murayama, Kiyoshi', 'Director'], ['Kamiya, Jun', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Kawai, Kenji', 'Music']]
