animeTitle	Kage kara Mamoru!
animeType	TV
animeNumEpisode	12
releaseDate	2006-01-08 00:00:00
endDate	2006-03-26 00:00:00
animeNumMembers	
animeScore	6.6
animeUsers	10714
animeRank	
animePopularity	3656
animeDescription	Kagemori Mamoru is a dowdy boy whose hair is disheveled and who wears thick glasses, but he is actually the son of a ninja family. They have protected their neighbors, the Konnyaku family, secretly for 400 years. Mamoru has personally protected their daughter, Konnyaku Yuuna, since they were in kindergarten. When Yuuna is in trouble, Mamoru puts on ninja suit and turns into a competent ninja to help her.
animeRelated	['Kage kara Mamoru!']
animeCharacters	['Kagemori, Mamoru', 'Konnyaku, Yuna', 'Kumogakure, Hotaru', 'Burumaru', 'Mapputatsu, Tsubaki', 'Kagemori, Sakurako', 'Hatori, Yamame', 'Sawagashi, Airi', 'Kumogakure, Raijuurou', 'Kagemori, Kengo']
animeVoices	['Hanba, Tomoe', 'Nakahara, Mai', 'Furukawa, Erina', 'Yamaguchi, Noboru', 'Kojima, Sachiko', 'Itou, Miki', 'Shimizu, Ai', 'Shintani, Ryouko', 'Ishida, Akira', 'Izumi, Hisashi']
animeStaff	[['Fujimoto, Yoshitaka', 'Director'], ['Miyoshi, Keiichirou', 'Sound Director'], ['Tamura, Koutarou', 'Episode Director'], ['Kakihara, Yuuko', 'Script']]
