animeTitle	Kinkyuu Hasshin Saver Kids
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	147
animeRank	
animePopularity	12229
animeDescription	"Matsugorou is a vile doctor who plots out a plan to take over the world by commanding his own robotic army. The only chance the world has is a group of three brothers that make up a team called the Emergency Departure Saver Kids.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Tenjinbayashi, Ken', 'Tenjinbayashi, Umeko', 'Tenjinbayashi, Takeo', 'Stanley, Haruka', 'Tenjinbayashi, Matsugorou', 'Tenjinbayashi, Gou', 'Dr. Bug', 'Epsilon', 'Omega', 'Tenjinbayashi, Ran']
animeVoices	['Takagi, Wataru', 'Takagi, Sanae', 'Tanaka, Kazumi', 'Itou, Miki', 'Ishimori, Takkou', 'Matsui, Mami', 'Kimotsuki, Kaneta', 'Yamaguchi, Ken', 'Matsuo, Ginzou', 'Yamazaki, Wakana']
animeStaff	[['Kamegaki, Hajime', 'Director'], ['Motonaga, Keitarou', 'Episode Director'], ['Nishizawa, Susumu', 'Episode Director, Storyboard'], ['Monkey Punch', 'Original Creator']]
