animeTitle	b'Five Star Stories'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.6
animeUsers	4332
animeRank	
animePopularity	
animeDescription	"b""Amaterasu is the god of light, the future emperor of the Joker Star System. Under the guise of young mecha conceptor Ladios Sopp, he is compelled by an old friend, Dr Ballanche, to save his two latest Fatimas Lachesis and Clotho. And so began the stories of the Joker System, as well as Amaterasu's love for Lachesis. \n\n(Source: ANN)"""
animeRelated	[b'Five Star Stories']
animeCharacters	[b'Sopp, Ladios', b'Fatima, Lachesis', b'Fatima, Clotho', b'Routh, Mission', b'Codante, Aisha', b'Nomien, Poesche', b'Spacorn, Landwand', b'Graphight, Nu Suoad', b'Megaella', b'Weissmel, Decors']
animeVoices	[b'\nHorikawa, Ryo\nJapanese\n', b'\nKawamura, Maria\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n', b'\nSasaki, Run\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nNakata, Kazuhiro\nJapanese\n', b'\nHirose, Masashi\nJapanese\n', b'\nYokoo, Mari\nJapanese\n', b'\nNakao, Ryusei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUeda, Masuo\n\nProducer\n\n', b'\nYamazaki, Kazuo\n\nDirector\n\n', b'\nNagayama, Youko\n\nTheme Song Performance\n\n', b'\nUrushihara, Satoshi\n\nAssistant Animation Director, Key Animation\n\n']
