animeTitle	Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu
animeType	Movie
animeNumEpisode	1
releaseDate	2001-07-14 00:00:00
endDate	
animeNumMembers	
animeScore	7.19
animeUsers	1725
animeRank	
animePopularity	7450
animeDescription	"Mo~tto Ojamajo Doremi movie features the five witches Doremi, Aiko, Hazuki, Onpu, and Momoko as they visit Doremi's grandpa's home. There, they learn of the mystery of the frog stone, a magical place where magic used to mingle in the old countryside. Aiko rediscovers her love for grandpa, and Doremi learns a piece of the magical kingdom's past.

(Source: ANN)"
animeRelated	['Motto! Ojamajo Doremi']
animeCharacters	['Harukaze, Doremi', 'Segawa, Onpu', 'Asuka, Momoko', 'Senoo, Aiko', 'Fujiwara, Hazuki', 'Majorika', 'Harukaze, Pop']
animeVoices	['Chiba, Chiemi', 'Shishido, Rumi', 'Miyahara, Nami', 'Akiya, Tomoko', 'Ishige, Sawa']
animeStaff	[['Seki, Hiromi', 'Producer'], ['Shibata, Hiroaki', 'Assistant Producer'], ['Yamauchi, Shigeyasu', 'Director, Storyboard'], ['Shishido, Rumi', 'Theme Song Performance']]
