animeTitle	Diamond Fusion
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	966
animeRank	
animePopularity	9328
animeDescription	"Official music video for TRIGGER's song DIAMOND FUSION also released on their ""HEAVENLY VISITOR"" album. The male idol group is primarily a rival to IDOLiSH7, the latter of which is also the name of the overall game franchise being adapted."
animeRelated	['Leopard Eyes', 'IDOLiSH7']
animeCharacters	['Kujou, Ten', 'Yaotome, Gaku', 'Tsunashi, Ryuunosuke']
animeVoices	[]
animeStaff	[['Tanemura, Arina', 'Original Character Design']]
