animeTitle	b'Tenshi Nanka ja Nai'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	1388
animeRank	
animePopularity	
animeDescription	"b'In a rainy spring day, first year high schooler Midori Saezima saw a tall, handsome fellow student took care of a stray kitten. Without knowing the boy\'s name, she fell in love with him at the first sight. Due to sickness, Midori returned to school three days after summer vacation -- only to find out that she was ""volunteered"" as a candidate for student council. After a series of embarrassing accidents, both she and the mysterious boy she had a crush on, Akira Sudo, were elected as members of the student council. Being the first student council of this newly established high school, they are about to create ""new traditions"" for their school and a bittersweet love story for themselves... \n\n(Source: ANN)'"
animeRelated	[b'Tenshi Nanka ja Nai']
animeCharacters	[b'Saejima, Midori', b'Sudou, Akira', b'Mamiya, Yuko', b'Maki, Hiroko', b'Takigawa, Shuuichi', b'Kouno, Bunta']
animeVoices	[b'\nHisakawa, Aya\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nYajima, Akiko\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTokita, Hiroko\n\nDirector\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nNishida, Hikaru\n\nTheme Song Performance\n\n', b'\nYazawa, Ai\n\nOriginal Creator\n\n']
