animeTitle	Shinseiki Inma Seiden
animeType	OVA
animeNumEpisode	6
releaseDate	2001-03-25 00:00:00
endDate	2002-10-25 00:00:00
animeNumMembers	
animeScore	6.12
animeUsers	643
animeRank	
animePopularity	8855
animeDescription	"As the related Kameyama and Ootori families battle to lead Ootori Academy, sinister goings-on complicate their internal struggle. Terrifying sexual assaults are taking place, with the assailant concealing his identity with a foreboding iron mask. Sena is attacked by tentacles and a demon, and then the masked man appears before Mao, who tries to fight him off. When she fails to succeed, Hitomi Kameyama comes to her rescue, but the horror has just begun.

(Source: NuTech Digital)"
animeRelated	[]
animeCharacters	['Kameyama, Hitomi', 'Ootori, Kaori', 'Kameyama, Himiko', 'Ootori, Mao', 'Yamamoto, Sena', 'Ozawa, Ayano', 'Sagawa', 'Takasu, Suzune', 'Ooasa', 'Matsumoto, Saeko']
animeVoices	['Sakuma, Kumi', 'Hyo-sei', 'Asano, Youji', 'Sonobe, Keiichi']
animeStaff	[['Fukumoto, Kan', 'Director, Episode Director, Storyboard'], ['Kanazawa, Katsuma', 'Script, Storyboard, Original Creator'], ['Miyazawa, Tsutomu', 'Storyboard, Layout'], ['Rinshin', 'Animation Director, Character Design']]
