animeTitle	Sora no Iro, Mizu no Iro
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	6761
animeRank	
animePopularity	4467
animeDescription	"Asa & Natsume are both in love with Hajime Saisho. Instead of fighting over him, they both promised to share him equally. However, both girls have to leave him by the end of the summer. As the summer days go by, they each spend their precious time with Hajime, while the day of their fated departure draws near. 

(Source: ANN)"
animeRelated	['Sora no Iro, Mizu no Iro Ero Specials']
animeCharacters	['Mizushima, Asa', 'Sorayama, Natsume', 'Saisho, Hajime', 'Shiomiya, Kanami', 'Takawashi, Nagisa', 'Kishi, Youko', 'Mizuki']
animeVoices	['Nishizawa, Hiroka', 'Asai, Kiyomi', 'Suzumura, Kenichi', 'Kawaragi, Shiho']
animeStaff	[['Takahashi, Takeo', 'Producer, Storyboard'], ['Tokita, Banzou', 'Director, Storyboard'], ['Taka, Tony', 'Original Character Design'], ['Kuroda, Kazuya', 'Chief Animation Director, Animation Director, Character Design']]
