animeTitle	Imouto Jiru
animeType	OVA
animeNumEpisode	2
releaseDate	2003-11-25 00:00:00
endDate	2004-03-25 00:00:00
animeNumMembers	9478
animeScore	6.4
animeUsers	3601
animeRank	
animePopularity	5419
animeDescription	"Akira's father, an archaeologist, has remarried, giving him a new stepmother and three stepsisters, Yuki, Nana and Miu. While on his honeymoon, Akira's father makes an archaeological find and decides to stay on site in order to supervise and leaving Akira at home alone with his new family members. After being discovered in bed with Yukie, his stepmother, Akira finds a box containing a scroll and three bottles. Using the knowledge his father taught to him, he reads the Sumarian language on the scroll and finds himself in a contract with the goddess Inana, who tells him to collect the love juices of his sisters in the bottles before the next full moon or else a terrible horror will befall him.

(Source: ANN)"
animeRelated	['Imouto Jiru', 'Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase']
animeCharacters	['Kohinata, Miu', 'Kohinata, Yuki', 'Kohinata, Nana', 'Kohinata, Yukie', 'Kohinata, Akira']
animeVoices	['Kanda, Rie', 'Nishizawa, Hiroka', 'Kanzaki, Chiro', 'Kawaragi, Shiho']
animeStaff	[['Raika, Ken', 'Director'], ['Atelier Kaguya', 'Original Creator'], ['Takezawa, Satoshi', 'Color Setting'], ['Tayama, Mamito', 'Key Animation']]
