animeTitle	Grancrest Senki Tsuisou
animeType	Special
animeNumEpisode	1
releaseDate	2018-03-24 00:00:00
endDate	
animeNumMembers	10324
animeScore	6.55
animeUsers	3932
animeRank	5881
animePopularity	5251
animeDescription	A recap of major events and notable characters from the first 11 episode of Grancrest Senki.
animeRelated	['Grancrest Senki']
animeCharacters	['Cornaro, Theo']
animeVoices	[]
animeStaff	[['Mizuno, Ryou', 'Original Creator'], ['Miyuu', 'Original Character Design']]
