animeTitle	Swing Out Sisters
animeType	OVA
animeNumEpisode	1
releaseDate	2011-11-25 00:00:00
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	5815
animeRank	
animePopularity	4589
animeDescription	"It's finals time, but tests aren't the only things stressing out Yuuta, who's literally being smothered with affection from his beautiful sisters: Chiyoko, who is feminine, caring, and coddles him; and Chinatsu, a strong-willed tomboy who desperately seeks his attention by picking on him. Who will triumph in this sibling love triangle?

(Source: icaruscomics)"
animeRelated	['Swing Out Sisters', 'Swing Out Sisters (2014)']
animeCharacters	['Chinatsu', 'Chiyo', 'Yuuta', 'Yuujin']
animeVoices	['Rikimaru, Noriko']
animeStaff	[['Watase, Toshihiro', 'Director, Episode Director, Script, Screenplay, Director of Photography, Spotting'], ['Shinonome, Tarou', 'Original Creator']]
