animeTitle	Sore Ike! Anpanman: Kyouryuu Nosshii no Daibouken
animeType	Movie
animeNumEpisode	1
releaseDate	1993-07-17 00:00:00
endDate	
animeNumMembers	293
animeScore	
animeUsers	
animeRank	13487
animePopularity	14654
animeDescription	5th Anpanman short movie.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Melonpanna', 'Shokupanman', 'Oji-san, Jam', 'Nosshii']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Kanai, Mika', 'Shimamoto, Sumi', 'Masuoka, Hiroshi', 'Tarako']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Nagaoka, Akinori', 'Director, Storyboard'], ['Yamada, Etsuji', 'Sound Director'], ['Yanase, Takashi', 'Theme Song Lyrics, Original Creator']]
