animeTitle	Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku
animeType	Special
animeNumEpisode	5
releaseDate	2007-08-22 00:00:00
endDate	2007-10-24 00:00:00
animeNumMembers	
animeScore	6.82
animeUsers	918
animeRank	
animePopularity	8682
animeDescription	Specials set six months after the end of Tenpou Ibun Ayakashi Ayashi.
animeRelated	['Tenpou Ibun: Ayakashi Ayashi']
animeCharacters	['Ryudo, Yukiatsu', 'Saizou', 'Ogasawara, Hozaburo', 'Edo, Genbatsu', 'Kawanabe, Kyosai', 'Choei, Takano', 'Kumoshichi', 'Torii, Youzou', 'Abi', 'Atl']
animeVoices	['Fujiwara, Keiji', 'Niino, Michi', 'Kawashima, Tokuyoshi', 'Miki, Shinichiro', 'Takayama, Minami', 'Ueda, Yuuji', 'Wakamoto, Norio', 'Koyama, Rikiya', 'Orikasa, Fumiko']
animeStaff	[['Mima, Masafumi', 'Sound Director'], ['Miyaji, Masayuki', 'Storyboard'], ['Otani, Kow', 'Music'], ['Kawamoto, Toshihiro', 'Character Design']]
