animeTitle	Yo! Daitouryou Trap-kun
animeType	ONA
animeNumEpisode	2
releaseDate	2017-03-15 00:00:00
endDate	2017-03-22 00:00:00
animeNumMembers	
animeScore	3.69
animeUsers	3817
animeRank	
animePopularity	6211
animeDescription	"In an attempt to strengthen relations with foreign nations amongst international unrest, United States president Trap-kun decides to embrace Japan by enrolling at an ordinary high school as its newest transfer student. However, instead of learning about the nation’s rich culture, he uses his power and privilege to educate his new peers about himself. With a tremendous vocabulary, President Trap-kun raps about the struggles of his position and the multipurpose nature of his hair as he makes his way into the hearts of Japanese youth.

[Written by MAL Rewrite]"
animeRelated	['Yo! Daitouryou Trap-kun']
animeCharacters	['Trap-kun']
animeVoices	[]
animeStaff	[['Taniguchi, Takashi', 'Director'], ['Kouhei', 'Original Creator']]
