animeTitle	Ten Count
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	27697
animeScore	
animeUsers	
animeRank	
animePopularity	3440
animeDescription	"Corporate secretary Shirotani suffers from obsessive-compulsive disorder. One day he meets Kurose, a therapist who offers to take him through a ten-step program to cure him of his compulsion. As the two go through each of the ten steps, Shirotani 's attraction to his counselor grows. 

(Source: SuBLime)"
animeRelated	['Ten Count', '6 Lovers']
animeCharacters	['Kurose, Riku', 'Shirotani, Tadaomi']
animeVoices	[]
animeStaff	[['Takarai, Rihito', 'Original Creator']]
