animeTitle	To LOVE-Ru Darkness 2nd OVA
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.55
animeUsers	35471
animeRank	
animePopularity	1995
animeDescription	"A scan of Jump SQ's September issue, to be released on August 4, revealed that the fifteenth volume of To LOVE-Ru Darkness will bundle a new OVA, which will be released on January 4. Consisting of two episodes, the OVA will run for a total of 25 minutes. One episode, titled Ghost Story Kowai no wa Ikaga (How about something scary?), will adapt a side-story from volume nine. The second episode, titled Clinic Sunao ni Narenakute (Without becoming obedient), will adapt chapter 38.

(Source: MAL News)"
animeRelated	['To LOVE-Ru Darkness', 'To LOVE-Ru Darkness 2nd', 'To LOVE-Ru: Multiplication - Mae kara Ushiro kara']
animeCharacters	['Deviluke, Momo Belia', 'Konjiki no Yami', 'Yuuki, Rito', 'Nemesis', 'Deviluke, Sephie Michaela', 'Deviluke, Lala Satalin', 'Yuuki, Mikan', 'Deviluke, Nana Astar', 'Sairenji, Haruna', 'Zastin']
animeVoices	['Inoue, Kikuko']
animeStaff	[['Ootsuki, Atsushi', 'Director'], ['Yabuki, Kentarou', 'Original Character Design'], ['Hasemi, Saki', 'Original Creator'], ['Oka, Yuuichi', 'Character Design']]
