animeTitle	Oseam
animeType	Movie
animeNumEpisode	1
releaseDate	2003-05-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.17
animeUsers	1714
animeRank	
animePopularity	6543
animeDescription	"The animation is based on the fairy tale of the same name with the local sale over 100,000 copies by Jeong Chae-bong, a writer well known for his innocent and heart-stirring tales. It is a story about two orphans, Gil-son, a five-year-old boy, and his blind sister Gam-i who are brought up by a charitable monk at a secluded temple in Mt. Seorak. Gil-son, a mischievous boy, is the guide for this hour-long travel in search of innocence. Having a pure heart, he befriends all living things and communicates with clouds, birds and flowers. One snowy day, however... 

"
animeRelated	[]
animeCharacters	['Gam-i', 'Gilson']
animeVoices	[]
animeStaff	[]
