animeTitle	Shingeki no Kyojin Picture Drama
animeType	Special
animeNumEpisode	9
releaseDate	2013-07-17 00:00:00
endDate	2014-03-19 00:00:00
animeNumMembers	48751
animeScore	6.63
animeUsers	23110
animeRank	5429
animePopularity	2528
animeDescription	"Shingeki no Kyojin Picture Drama  is a series of Flash animated gag shorts included with the Blu-ray Disc/DVD releases, featuring the characters in chibi form. Consisting of nine episodes, this series takes a light hearted and comedic take on the the SNK series with many memorable scenes and dialogues from the original series presented in humorous way. Each episodes depicts 2-3 days in the training of the 104th Trainee Corps as they train to become the hope for mankind in the war against the Titans.
"
animeRelated	['Shingeki no Kyojin']
animeCharacters	['Ackerman, Mikasa', 'Yeager, Eren', 'Arlert, Armin', 'Levi', 'Smith, Erwin', 'Zoë, Hange', 'Blouse, Sasha', 'Braun, Reiner', 'Kirstein, Jean', 'Leonhart, Annie']
animeVoices	['Ishikawa, Yui', 'Kaji, Yuki', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Ono, Daisuke', 'Park, Romi', 'Kobayashi, Yuu', 'Hosoya, Yoshimasa', 'Taniyama, Kishou', 'Shimamura, Yuu']
animeStaff	[['Morii, Kenshirou', 'Director, Script'], ['Sawano, Hiroyuki', 'Music'], ['Isayama, Hajime', 'Original Creator']]
