animeTitle	b'Hi no Tori: Houou-hen'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.86
animeUsers	1159
animeRank	
animePopularity	
animeDescription	"b""Akanemaru, a skilled sculptor, sets out to find the muse for his masterpiece, the legendary immortal bird Phoenix. However, on his journey, he encounters unexpected trouble when he runs into Gaou, a one-eyed, one-armed bandit. Despite Akanemaru's friendly demeanor, Gaou, who harbors animosity toward the world as a ruthless man, attacks and robs him.\n\nAs they go their separate ways, the unfortunate incident fades into oblivion. Years later, Akanemaru is forced to accept a new assignment and abandon his dream, while Gaou is stricken with sudden misfortune\xe2\x80\x94a twist of fate that will change both their lives forever. But little do they know that these new circumstances will eventually lead them to cross paths once more: this time as rivals.\n\nSet in Japan's Nara period, Hi no Tori: Houou-hen explores the fragile balance between action and consequence as it follows the lives of two men who must inevitably confront the responsibilities of their choices.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Hi no Tori (1967)', b'Hi no Tori', b'Hi no Tori 2772: Ai no CosmoZone', b'Hi no Tori: Yamato-hen']
animeCharacters	[b'Gaou', b'The Phoenix']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nRintaro\n\nDirector\n\n', b'\nTakayashiki, Hideo\n\nScript\n\n', b'\nTezuka, Osamu\n\nOriginal Creator\n\n', b'\nKanada, Yoshinori\n\nKey Animation\n\n']
