animeTitle	Aoki Ryuusei SPT Layzner OVA
animeType	OVA
animeNumEpisode	3
releaseDate	1986-08-21 00:00:00
endDate	1986-10-21 00:00:00
animeNumMembers	
animeScore	6.77
animeUsers	601
animeRank	
animePopularity	9881
animeDescription	"The Layzner OVA serves as an alternative version of the TV series. 

The first episode, titled ""Eiji 1996"", recaps the first part of the series (episodes 01-24). The second episode (""Le Caine 1999"") takes place after a time skip, and contains episodes 26 through 37 (episode 25 of the TV series, being a recap itself, is skipped here). 

The final episode, ""Seal 2000"", is an expanded version of the final episode of the TV series (38) and features new animation and a longer epilogue. "
animeRelated	['Aoki Ryuusei SPT Layzner']
animeCharacters	['Asuka, Eiji', 'Stephanie, Anna', 'Gosterro', 'Rei', 'Gresco', 'Gale, Ahmos', 'Fouron', 'Asuka, Julia', 'Clabery, Elizabeth', 'Rutherford, David']
animeVoices	[]
animeStaff	[['Yatabe, Katsuyoshi', 'Episode Director, Series Composition'], ['Kase, Mitsuko', 'Episode Director'], ['Imanishi, Takashi', 'Episode Director, Series Composition'], ['Hirano, Yasushi', 'Script']]
