animeTitle	Do It Yourself!!
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	5235
animeScore	
animeUsers	
animeRank	
animePopularity	6963
animeDescription	"Do It Yourself!! follows high school girls working on DIY projects, as they struggle, fail, yet don't give up and see the projects through to their end. The story depicts the lives of those girls as they take the first step toward the future.

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Shii', 'Takumi', 'Serufu', 'Purin', 'Kurei', 'Jobuko']
animeVoices	[]
animeStaff	[['Yoneda, Kazuhiro', 'Director'], ['Fudeyasu, Kazuyuki', 'Script, Series Composition'], ['Matsuo, Yuusuke', 'Character Design']]
