animeTitle	Akiko
animeType	OVA
animeNumEpisode	2
releaseDate	1996-03-15 00:00:00
endDate	1996-07-26 00:00:00
animeNumMembers	2435
animeScore	5.34
animeUsers	876
animeRank	
animePopularity	8919
animeDescription	"Young men and women are supposed to be interested in the opposite sex. They're supposed to be interested in sex, period. But the students at the prestigious Nobel Academy have been exhibiting unusually strong urges lately.

When one of the female scholars spends her entire summer vacation masturbating in her room, her father calls on the Central Genetic Research Institute for help. Special Agent Akiko is assigned to investigate forthwith, and goes ""undercover"" to discover exactly what possesses the student body.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
