animeTitle	Time Slip Ichimannen: Prime Rose
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	423
animeRank	
animePopularity	10492
animeDescription	"A devil sends two cities; Kujukuri City in Chiba Prefecture and Dallas in the U.S., to ten thousand years ahead in the future, makes them fight each other, and enjoys watching over the fight. The devil's name is Bazusu. So Tanbara Gai, a member of Time Patrol, fights this devil to stop the atrocity.

(Source: AniDB)"
animeRelated	['Prime Rose']
animeCharacters	['Tachi, Emiya', 'Tanbara, Gai', 'Doctor Kiriko', 'Pilar', 'Taro', 'Tachi, Jacques', 'Tachi, Irma', 'Tanbara, Bunretsu', 'Jinba']
animeVoices	['Okamoto, Mari', 'Mizushima, Yuu', 'Yara, Yuusaku', 'Ikeda, Shuuichi', 'Shiozawa, Kaneto', 'Kamiyama, Takuzou', 'Tsukada, Emiko', 'Hori, Junko', 'Komatsu, Housei']
animeStaff	[['Fujikawa, Keisuke', 'Script, Screenplay'], ['Ishiguro, Noboru', 'Storyboard'], ['Tezuka, Osamu', 'Original Creator, Series Composition, Character Design'], ['Kobayashi, Shichiro', 'Art Director']]
