animeTitle	Kiratto Pri☆chan
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.98
animeUsers	709
animeRank	
animePopularity	7314
animeDescription	" First-year middle school girls Mirai Momoyama and Emo Moegi are two aspiring idols who decide to use the ""Pri☆Chan System,"" a system used by famous people and companies to broadcast content. Like many girls starting their own channels and uploading content, the pair decide to become their own producers, starting their own channel in an attempt to become Pri☆Chan idols.

(Source: ANN)"
animeRelated	['PriPara & Kiratto Pri☆chan Movie: Kirakira Memorial Live', 'Kiratto Pri☆chan Season 2']
animeCharacters	['Momoyama, Mirai', 'Akagi, Anna', 'Moegi, Emo', 'Midorikawa, Sara', 'Shidou, Mel', 'Aoba, Rinka', 'Shiratori, Anju', 'Momoyama, Hikari', 'Isshiki, Karen', 'Akagi, Antaro']
animeVoices	['Hayashi, Koko', 'Serizawa, Yuu', 'Kubota, Miyu', 'Wakai, Yuuki', 'Morishima, Yuuka', 'Atsugi, Nanami', 'Mimori, Suzuko', 'Kusunoki, Tomori', 'Kugimiya, Rie', 'Tatsuta, Naoki']
animeStaff	[['Ikehata, Hiroshi', 'Director, Episode Director, Storyboard'], ['Park, Chi-Man', 'Director'], ['Nagasaki, Yukio', 'Sound Director'], ['Takada, Masatoyo', 'Episode Director, Storyboard']]
