animeTitle	Tibet Inu Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	2011-06-06 00:00:00
endDate	
animeNumMembers	
animeScore	7.28
animeUsers	1911
animeRank	
animePopularity	6714
animeDescription	After the death of his mother, Tenzin decided to leave town to live with his father in the Tibetan grasslands. Life is tough at first, until one day the young man witnesses a fight between Tibetan guard dogs and a dog with golden hairs outside the pack.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
