animeTitle	b'Shikkoku no Shaga The Animation'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	3974
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[]
animeCharacters	[b'Shaga', b'Ushiwaka', b'Yorihime', b'Toyohime', b'Ayame', b'Kudan', b'Mountain Girl', b'Male Villager', b'Sasuke', b'Tokiwa, Gozen']
animeVoices	[b'\nKouda, Kaho\nJapanese\n', b'\nAsai, Kiyomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishikawa, Takashi\n\nDirector, Storyboard, Planning, Screenplay, Key Animation, Animation Director, Character Design, Original Creator\n\n', b'\nHorikawa, Kazuto\n\nDirector of Photography\n\n', b'\nSugibayashi, Yurika\n\nColor Design\n\n']
