animeTitle	b'Ged Senki'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	72680
animeRank	
animePopularity	
animeDescription	"b""Calamities are plaguing the land of Earthsea and dragons have been seen fighting above the clouds\xe2\x80\x94something which has never happened before. Sparrowhawk, a powerful Archmage, sets out to uncover the mystery behind these concerning events and meets Prince Arren along the way. Arren is the fugitive heir to the Kingdom of Enlad and a seemingly quiet and distressed lad. Wandering aimlessly in an attempt to escape the dark presence haunting him, he decides to tag along Sparrowhawk on his journey.\n\nHowever, their arrival in the seaside settlement of Hort Town is met with unexpected trouble\xe2\x80\x94Lord Cob, a powerful evil wizard obsessed with eternal life, stands in their way. Forced to confront him, the pair joins forces with Tenar\xe2\x80\x94an old friend of Sparrowhawk\xe2\x80\x94and Therru, the ill-fated orphan girl she took in. But the enemy's cunning hobby of manipulating emotions may just prove to be catastrophic for the young prince.\n\nSet in a magical world, Ged Senki goes beyond the classical battle between the forces of good and evil, as it explores the inner battles of the heart.\n\n[Written by MAL Rewrite]"""
animeRelated	[]
animeCharacters	[b'Therru', b'Arren', b'Ged', b'Tenar', b'Cob, Kumo', b'Usagi', b'Queen of Enlad', b'King of Enlad']
animeVoices	[b'\nTeshima, Aoi\nJapanese\n', b'\nOkada, Junichi\nJapanese\n', b'\nSugawara, Bunta\nJapanese\n', b'\nFubuki, Jun\nJapanese\n', b'\nTanaka, Yuko\nJapanese\n', b'\nKagawa, Teruyuki\nJapanese\n', b'\nNatsukawa, Yui\nJapanese\n', b'\nKobayashi, Kaoru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSuzuki, Toshio\n\nProducer\n\n', b'\nKishimoto, Taku\n\nAssistant Producer\n\n', b'\nIshii, Tomohiko\n\nAssistant Producer\n\n', b'\nMiyazaki, Gorou\n\nDirector, Storyboard, Theme Song Lyrics, Screenplay\n\n']
