animeTitle	Chinpui
animeType	TV
animeNumEpisode	56
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	374
animeRank	
animePopularity	11033
animeDescription	TV anime show based on the manga by F. Fujio Fujiko.
animeRelated	['Chinpui', 'Chinpui Specials', 'Chinpui: Eri-sama Katsudou Daishashin']
animeCharacters	['Chinpui', 'Uchiki, Shou', 'Kasuga, Eri', 'Kasuga, Nodoka']
animeVoices	['Hori, Junko', 'Sasaki, Nozomu', 'Hayashibara, Megumi', 'Tsumura, Takashi']
animeStaff	[['Hongou, Mitsuru', 'Director, Episode Director, Storyboard'], ['Mochizuki, Tomomi', 'Episode Director, Storyboard'], ['Fujiko, Fujio F.', 'Original Creator'], ['Mizushima, Tsutomu', 'Production Assistant']]
