animeTitle	b'Junjou Romantica OVA'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.74
animeUsers	23095
animeRank	
animePopularity	
animeDescription	b'OVAs that come with the limited premium edition of volumes 16 and 20 of the manga series.'
animeRelated	[b'Junjou Romantica', b'Junjou Romantica 3']
animeCharacters	[b'Usami, Akihiko', b'Takahashi, Misaki', b'Kamijou, Hiroki', b'Kusama, Nowaki', b'Takatsuki, Shinobu', b'Miyagi, You', b'Isaka, Ryuuichirou', b'Asahina, Kaoru', b'Takahashi, Takahiro']
animeVoices	[b'\nHanada, Hikaru\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nItou, Kentarou\nJapanese\n', b'\nCanna, Nobutoshi\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nKon, Chiaki\n\nDirector\n\n', b'\nNakamura, Shungiku\n\nScript\n\n', b""\nFo'xTails\n\nTheme Song Performance\n\n"", b'\nMOKA\xe2\x98\x86\n\nMusic\n\n']"
