animeTitle	b'Doraemon (2005)'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	7.58
animeUsers	6897
animeRank	
animePopularity	
animeDescription	"b""Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. \n\nIt is the 2005 version of 1979 series, with certain changes in the animation and other things.\n\nDoraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech.\n\n(Source: Wikipedia)"""
animeRelated	[b'Doraemon', b'Doraemon Movie 26: Nobita no Kyouryuu 2006', b'Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai', b'Doraemon Movie 28: Nobita to Midori no Kyojin Den', b'Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi', b'Doraemon Movie 30: Nobita no Ningyo Daikaisen', b'Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi', b'Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure', b'Doraemon Movie 33: Nobita no Himitsu Dougu Museum', b'Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai', b'Stand By Me Doraemon', b'Doraemon Movie 35: Nobita no Space Heroes', b'Doraemon Movie 36: Shin Nobita no Nippon Tanjou', b'Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken', b'Doraemon (2005) Specials', b'Doraemon Movie 38: Nobita no Takarajima', b'Doraemon Movie 39: Nobita no Getsumen Tansaki', b'Doraemon Movie 40: Nobita no Shin Kyouryuu', b'Doraemon Movie 41: Nobita no Little Star Wars', b'Doraemon (1979)']
animeCharacters	[b'Doraemon', b'Nobi, Nobita', b'Minamoto, Shizuka', b'Honekawa, Suneo', b'Gouda, Takeshi', b'Dorami', b'Dekisugi, Hidetoshi', b'Nobi, Tamako', b'Nobi, Nobisuke', b'Gouda, Jaiko']
animeVoices	[b'\nMizuta, Wasabi\nJapanese\n', b'\nOohara, Megumi\nJapanese\n', b'\nKakazu, Yumi\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nKimura, Subaru\nJapanese\n', b'\nFujimoto, Chiaki\nJapanese\n', b'\nHagino, Shihoko\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nYamazaki, Vanilla\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKusuba, Kouzou\n\nDirector, Storyboard\n\n', b'\nShibayama, Tsutomu\n\nDirector\n\n', b'\nTanaka, Akiyoshi\n\nSound Director\n\n', b'\nMiyamoto, Yukihiro\n\nEpisode Director, Storyboard\n\n']
