animeTitle	Lupin III: Honoo no Kioku - Tokyo Crisis
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	2719
animeRank	
animePopularity	6271
animeDescription	"Lupin & co. attempt to steal two face plates from millionare Michael Sizuki, thinking that they will lead to an ancient treasure when brought together. However, it soon becomes apparent that there is more behind the plates then meets the eye. 

(Source: ANN)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Isshiki, Maria', 'Suzuki, Michael']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou', 'Hayashibara, Megumi', 'Yamadera, Kouichi']
animeStaff	[['Cook, Justin', 'Producer'], ['Watson, Barry', 'Producer'], ['Shinohara, Toshiya', 'Director'], ['Vale, Eric', 'Script']]
