animeTitle	Gantz:O
animeType	Movie
animeNumEpisode	1
releaseDate	2016-10-14 00:00:00
endDate	
animeNumMembers	82033
animeScore	7.43
animeUsers	48940
animeRank	1873
animePopularity	1865
animeDescription	"Death does not have to be the end; one can live again, but only through beating the game posed by the black ball called Gantz.

On his way home to celebrate his younger brother's birthday, brave and kind-hearted student named Masaru Katou is stabbed to death. He awakes in a small room with a cityscape view in the heart of Tokyo—and he is not alone. To his surprise, it is not the afterlife, but the waiting room for a high stakes game with their lives on the line. Before he has the chance to process the situation, Masaru is handed a gun and teleported into the center of Osaka to carry out one simple task: eliminate any alien on sight.

Accompanied by the aged Yoshikazu Suzuki, the stunning idol Reika Shimohira, and the cold but experienced Jouichirou Nishi, Masaru must overcome his fears in order to survive the game and return home to his waiting brother.

[Written by MAL Rewrite]"
animeRelated	['Gantz', 'Gantz 2nd Stage']
animeCharacters	['Katou, Masaru', 'Shimohira, Reika', 'Yamasaki, Anzu', 'Kurono, Kei', 'Nishi, Jouichirou', 'Suzuki, Yoshikazu', 'Oka, Hachirou', 'Katou, Ayumu', 'Muroya, Nobuo', 'Hara, Tetsuo']
animeVoices	['Ono, Daisuke', 'Hayami, Saori', 'Ichimichi, Mao', 'Kaji, Yuki', 'Kaku, Tomohiro', 'Ikeda, Shuuichi', 'Kobayashi, Kendou', 'Morio, Rihito', 'Ogawa, Teruaki']
animeStaff	[['Satou, Keiichi', 'Director'], ['Kawamura, Yasushi', 'Director'], ['Kuroiwa, Tsutomu', 'Script'], ['the dresscodes', 'Theme Song Performance']]
