animeTitle	Yamato 2520
animeType	OVA
animeNumEpisode	3
releaseDate	1994-11-21 00:00:00
endDate	1996-08-25 00:00:00
animeNumMembers	1666
animeScore	5.76
animeUsers	452
animeRank	9534
animePopularity	9913
animeDescription	"Set hundreds of years after the original, Yamato 2520 chronicles the adventures of the eighteenth starship to bear the name, and its battle against the Seiren Federation. 

On a planet harshly ruled by the Serien Federation, a group of earth teenagers discover the ancient hulk of the Earth Federation Battleship Yamato. By stealing it's data disk the teens are able to use the Serien's own automated ship yards to construct a new Yamato. 

(Source: Wikipedia) "
animeRelated	['Uchuu Senkan Yamato']
animeCharacters	['Emperor Brône', 'Amethis', 'Aga', 'Shima', 'Ricardo', 'Maki', 'Marcie']
animeVoices	['Ibu, Masatou', 'Ichiryuusai, Harumi', 'Matsumoto, Yasunori', 'Nagai, Ichiro', 'Kamiya, Akira', 'Mitsuishi, Kotono', 'Sakurai, Tomo']
animeStaff	[['Kageyama, Shigenori', 'Director, Storyboard'], ['Shirato, Takeshi', 'Director, Storyboard'], ['Maeda, Mahiro', 'Storyboard, Animation Director, Layout'], ['Takeda, Yuusuke', 'Art Director']]
