animeTitle	Make My Day
animeType	ONA
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	768
animeScore	
animeUsers	
animeRank	
animePopularity	11888
animeDescription	"On a cold planet of ice and snow, mysterious creatures suddenly have appeared from the dark underground and have begun to attack the inhabitants. Can humanity survive the terror lurking beyond the horizon?

(Source: Netflix)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
