animeTitle	b'Code:Breaker'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	138264
animeRank	
animePopularity	
animeDescription	"b'Although cheerful and delicate, Sakura Sakurakouji is a skilled martial artist with a sense of fairness that never falters\xe2\x80\x94no matter the situation. Upon witnessing people burning in blue flames while on a bus ride home, she calls the police to bring their murderer to justice only to find that no evidence remains. However, all her doubts about what she saw vanish when the next day, the new transfer student Rei Oogami joins her class; he is the very boy she watched commit murder in cold blood.\n\nRei is kind, sweet, and quickly becomes popular, contradicting Sakura\'s accusations. Soon enough, she learns his true nature: a Code Breaker, or ""one who does not exist."" To Sakura\'s shock, Rei\xe2\x80\x94armed with mysterious powers\xe2\x80\x94seeks to exact justice according to the principle of ""an eye for an eye."" Determined to bring Rei to the right path, Sakura keeps close to him in the hopes of redeeming him from his ways before others are hurt.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Code:Breaker', b'Code:Breaker OVA']
animeCharacters	[b'Oogami, Rei', b'Sakurakouji, Sakura', b'Tenpouin, Yuuki', b'Fujiwara, Toki', b'Hitomi', b'Heike, Masaomi', b'Hachiouji, Rui', b'Nyanmaru', b'Yukihina', b'Sagashimono']
animeVoices	[b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nToyonaga, Toshiyuki\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nKimura, Subaru\nJapanese\n', b'\nSaiga, Mitsuki\nJapanese\n', b'\nItou, Kanae\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIrie, Yasuhiro\n\nDirector\n\n', b'\nWakabayashi, Kazuhiro\n\nSound Director\n\n', b'\nIkehata, Hiroshi\n\nEpisode Director\n\n', b'\nKikuta, Kouichi\n\nEpisode Director, Key Animation\n\n']
