animeTitle	Black Lagoon Omake
animeType	Special
animeNumEpisode	7
releaseDate	2009-12-23 00:00:00
endDate	2010-03-25 00:00:00
animeNumMembers	56099
animeScore	6.8
animeUsers	28431
animeRank	4609
animePopularity	2353
animeDescription	Special omake episodes from the Blu-Ray releases, showing the heroines and foes in funny, uncommon situations.
animeRelated	['Black Lagoon', 'Black Lagoon: The Second Barrage']
animeCharacters	['Revy', 'Balalaika', 'Okajima, Rokurou', 'Roberta', 'Gretel', 'Hänsel', 'Washimine, Yukio', 'Maki', 'Dutch', 'Eda']
animeVoices	['Toyoguchi, Megumi', 'Koyama, Mami', 'Namikawa, Daisuke', 'Tomizawa, Michie', 'Kaneda, Tomoko', 'Minami, Omi', 'Kuwashima, Houko', 'Isobe, Tsutomu', 'Karasawa, Jun']
animeStaff	[['Hiroe, Rei', 'Original Creator']]
