animeTitle	Oniisama e...
animeType	TV
animeNumEpisode	39
releaseDate	1991-07-14 00:00:00
endDate	1992-05-31 00:00:00
animeNumMembers	34897
animeScore	7.81
animeUsers	7286
animeRank	833
animePopularity	3036
animeDescription	"When 16-year-old Nanako Misonoo enters the prestigious all-girls Seiran Academy, she believes a bright future awaits her. Instead, the unlucky girl finds herself dragged into a web of deceit, misery, and jealousy. On top of that, she is chosen as the newest inductee of the Sorority, an elite group whose members are the envy of the entire school. Having none of the grace, wealth, or talent of the other members, Nanako quickly draws the ire of her jealous classmates—especially the fierce Aya Misaki.

To cope with her increasingly difficult school life, Nanako recalls her days through letters to her former teacher, Takehiko Henmi, whom she affectionately calls ""onii-sama"" (big brother). She also finds comfort with her four closest friends: her childhood friend Tomoko Arikura, the sociable but erratic Mariko Shinobu, the troubled musician Rei Asaka, and the athletic tomboy Kaoru Orihara.

An impassioned drama about the hardships of bullying, Oniisama e... chronicles a young girl's harsh life at her new school, as she endures cruel rumours, heartless classmates, and countless social trials.

[Written by MAL Rewrite]"
animeRelated	['Oniisama e...']
animeCharacters	['Shinobu, Mariko', 'Asaka, Rei', 'Misonoo, Nanako', 'Orihara, Kaoru', 'Ichinomiya, Fukiko', 'Arikura, Tomoko', 'Ichinomiya, Takashi', 'Henmi, Takehiko', 'Misonou, Professor', 'Shinobu, Hisako']
animeVoices	['Tamagawa, Sakiko', 'Shimamoto, Sumi', 'Kasahara, Hiroko', 'Toda, Keiko', 'Koyama, Mami', 'Kanda, Waka', 'Horiuchi, Kenyuu', 'Genda, Tesshou', 'Arimoto, Kinryuu', 'Yoshida, Rihoko']
animeStaff	[['Dezaki, Osamu', 'Director, Storyboard'], ['Yamada, Etsuji', 'Sound Director'], ['Shinohara, Toshiya', 'Episode Director'], ['Matsumi, Shinichi', 'Episode Director']]
