animeTitle	Watashi no Ashinaga Ojisan
animeType	TV
animeNumEpisode	40
releaseDate	1990-01-04 00:00:00
endDate	1990-12-23 00:00:00
animeNumMembers	13450
animeScore	7.72
animeUsers	5187
animeRank	1024
animePopularity	4706
animeDescription	"Daddy Long Legs is based on the novel of the same name by Jean Webster. It chronicles the adventures of Judy Abbott, an orphan in New York. During a meeting for the superintendent, with other important and rich people in attendance, a scholarship is offered to Judy by a mysterious benefactor. Catching only a glimpse of his tall shadow as he leaves, Judy calls him ""Daddy Long Legs"" and writes him letters every month as per his request. While studying at the Lincoln Memorial school, she makes many friends and learns about a world she never knew about before. 

(Source: ANN)"
animeRelated	['Ashinaga Ojisan', 'Watashi no Ashinaga Ojisan Specials']
animeCharacters	['Abbott, Judy', 'Rutledge Pendleton, Julia', 'McBride, Sally', 'Pendelton, Jervis', 'Fenton, Leonora', 'Carry', 'Semple, Eliza', 'Bob', 'Catherine', 'Tommy']
animeVoices	['Horie, Mitsuko', 'Amano, Yuri', 'Satou, Chie', 'Tanaka, Hideyuki', 'Tsuru, Hiromi', 'Kobayashi, Yuko', 'Kyouda, Hisako', 'Shioya, Yoku', 'Shinohara, Emi', 'Kikuchi, Hidehiro']
animeStaff	[['Fujino, Sadayoshi', 'Sound Director'], ['Matsumi, Shinichi', 'Episode Director, Storyboard, Assistant Director'], ['Sadohara, Takeyuki', 'Episode Director, Storyboard'], ['Kaga, Tsuyoshi', 'Episode Director, Storyboard']]
