animeTitle	Lan Mao
animeType	TV
animeNumEpisode	3057
releaseDate	1999-10-08 00:00:00
endDate	2001-08-01 00:00:00
animeNumMembers	651
animeScore	
animeUsers	
animeRank	17007
animePopularity	12266
animeDescription	"Adventures include going into deep sea and accompanying dinosaurs. The shows are mainly based on science or science fiction. It has been popular in China, one reason might be the fact that many of the Chinese youth have been sending questions to the studio, and the studio answers them with one of Lan Mao's adventures. Lan Mao is sometimes impulsive, and in the end gets nothing but trouble.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
