animeTitle	Sailor Senshi Venus♥Five
animeType	OVA
animeNumEpisode	2
releaseDate	1994-11-11 00:00:00
endDate	1994-12-09 00:00:00
animeNumMembers	
animeScore	5.24
animeUsers	625
animeRank	
animePopularity	9772
animeDescription	"Hikari is an ordinary school student. One day she meets Buccha the talking cat, who says that she's Venus Pink, warrior of the goddess Aphrodite. Along with four other girls she has to fight with perverted Necros and four lords of Inma Empire, who want to revive the god of lust, Apollo, and turn the world into a sex pit.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Miyama, Moyu', 'Misono, Hikari', 'Mikawa, Kiyomi', 'Misora, Ai', 'Mihari, Ikumi', 'Empress Necros', 'Amano, Yoshihiro', 'Buccha', 'Hiroto, Tsuchiya', 'Kanagawa, Ken']
animeVoices	['Iwatsubo, Rie', 'Asami, Junko', 'Sakuma, Junko', 'Ogata, Kenichi']
animeStaff	[['Inoue, Osamu', 'Director'], ['Ooshiro, Tsutomu', 'Key Animation'], ['Sugiura, Shouichirou', 'Art Director']]
