animeTitle	Onaka no Ookina Ouji-sama
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	158
animeRank	
animePopularity	14522
animeDescription	"A fat little king wants to ride a flying carpet. 

This is music video for the song by Kouichi Kawatsu that was featured on NHK's Minna no Uta program. On February 4, 1983 NHK rebroadcasted the song but with a new singer Shiro Kishibe; the animated footage though was identical to the original 1975 release.
"
animeRelated	[]
animeCharacters	['Ouji-sama']
animeVoices	[]
animeStaff	[['Okamoto, Tadanari', 'Director'], ['Kawatsu, Kouichi', 'Theme Song Performance']]
