animeTitle	Ai City
animeType	Movie
animeNumEpisode	1
releaseDate	1986-07-26 00:00:00
endDate	
animeNumMembers	
animeScore	5.71
animeUsers	1834
animeRank	
animePopularity	6749
animeDescription	"It's sometime in the future and the story starts off with Kei and Ai running for their lives. Ai is a little girl who holds a terrible secret which could destroy the current world. The world is now populated by Headmeters, people who have psychic powers and their strength is shown on their forehead when they fight. However, Kei was an experimental subject and his strength never went above level 5 while other surpasses his ability effortlessly. While escaping, when in desperate moments, Kei could increase his ability to infinity when Ai is in trouble.

The one who's after her have a deep secret, aided by a small dwarflike man living in a robotic suit. Eventually Ai is captured and Kei, a sherlock holmes detective and another Headmeter who was converted to the good side when Kei unleashed his horrible powers through Ai must go and rescue her.

Together they must save Ai and the secret which she holds. What is the secret of Ai? Who is she?

(Source: AniDB)"
animeRelated	['Ai City']
animeCharacters	['K2', 'Kei', 'Ai', 'Ryan', 'E', 'Lai Lou Chin', 'Mr. J', 'Genetic Alloy', 'Lee, Kuu Ragua', 'Yoshioka, Raiden']
animeVoices	['Koyama, Mami', 'Suzuoki, Hirotaka', 'Ueda, Yuki', 'Futamata, Issei', 'Ginga, Banjou', 'Nagai, Ichiro', 'Horiuchi, Kenyuu', 'Watabe, Takeshi', 'Kobayashi, Kiyoshi', 'Nozawa, Nachi']
animeStaff	[['Mashimo, Kouichi', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Sonoda, Hideki', 'Script'], ['Aki, Youko', 'Theme Song Lyrics']]
