animeTitle	Toki no Tabibito: Time Stranger
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.04
animeUsers	927
animeRank	
animePopularity	8079
animeDescription	Based on the novel trilogy of the same name by MAYUMURA Taku (眉村 卓), Time Stranger is the story of a bunch of teenagers getting transported back in time through Japan's history, and getting mixed up with samurai shenanigans.
animeRelated	[]
animeCharacters	['Kita, Tsutomu', 'Hayasaka, Tetsuko', 'Hasegawa, Shinichi', 'Yamazaki, Nobuo', 'Agino, Jiro', 'Kutajima, Toshito', 'Akechi, Mitsuhide']
animeVoices	['Aono, Takeshi', 'Murata, Hiromi', 'Iwata, Mitsuo', 'Kumagai, Seiji', 'Toda, Keiko', 'Kaneuchi, Yoshio']
animeStaff	[['Rintaro', 'Producer'], ['Masaki, Mori', 'Director, Storyboard, Screenplay'], ['Takeuchi, Yoshio', 'Script'], ['Hirata, Toshio', 'Storyboard']]
