animeTitle	Mai-Otome 0: S.ifr
animeType	OVA
animeNumEpisode	3
releaseDate	2008-02-21 00:00:00
endDate	2008-11-21 00:00:00
animeNumMembers	
animeScore	7.38
animeUsers	6822
animeRank	
animePopularity	4681
animeDescription	"This is the prequel of My-Otome, which predates the events before the My-Otome Series. In this series, it focuses upon the origins of Lena Sayers, the mother of Arika Yumemiya and former bearer of Lofty Crimson Jade / Blue Sky Sapphire GEM, and Sifr Fran, the biological mother of Nina Wáng and the former queen of Windbloom Kingdom, as well as the origins of Schwartz, Aswad, and the Garderobe Academy and its Five Columns. The kidnapping of Sifr and the powerful revelation of Lena's GEM will soon fatefully determine the outcome of the future for themselves and the others around them.

(Source: ANN)"
animeRelated	['Mai-Otome']
animeCharacters	['Sayers, Lena', 'Fran, Sifr', 'Wallace, Bruce', 'Miyu', 'Hazakura, Sakura', 'Shamrock, Una', 'Mayol, Raquel', 'Kagura, Mayo', 'Chandler, Elliot', 'Kiddo']
animeVoices	['Endou, Aya', 'Koshimizu, Ami', 'Okiayu, Ryoutarou', 'Asai, Kiyomi', 'Yukana', 'Kuwashima, Houko', 'Chihara, Minori', 'Sanpei, Yuuko', 'Kakihara, Tetsuya']
animeStaff	[['Hisayuki, Hirokazu', 'Director, Character Design'], ['Watanabe, Tetsuya', 'Episode Director, Storyboard'], ['Higuchi, Tatsuto', 'Script, Series Composition'], ['Kuribayashi, Minami', 'Theme Song Performance']]
