animeTitle	b'Kimoshiba'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Kimoshiba is a weird type of life form with the shape of an oversize shiba inu, loves eating curry (particularly curry breads), and works at a funeral home. Similar life forms include yamishiba and onishiba.\n\n(Source: ANN)'
animeRelated	[b'Kimoshiba 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
