animeTitle	Ravex in Tezuka World
animeType	OVA
animeNumEpisode	1
releaseDate	2009-04-29 00:00:00
endDate	
animeNumMembers	1196
animeScore	5.54
animeUsers	475
animeRank	10262
animePopularity	10699
animeDescription	"As ""another story"" set after the end of the original manga, this what-if ""Return"" plot depicts what happens to the title character after his final act to save Earth. After drifting in space, the robot boy is rescued by the three members of ravex, and he is miraculously revived — not by Tezuka's Black Jack surgeon character, but by ""Space Jack."" The newly evolved robot boy will be named ""Ratom."" The Princess Knight and other Tezuka characters will appear in this all-new story. Musical artists BoA, Maki Goto, Anna Tsuchiya, Tohoshinki, and TRF are contributing to the album, and an event is planned at Tokyo's National Museum of Emerging Science and Innovation on April 10. The album marks Avex's 20th anniversary and what would have been Tezuka's 80th birthday. 

(Source: ANN)"
animeRelated	['Astro Boy: Tetsuwan Atom']
animeCharacters	['Atom', 'Holmes, Rock', 'Osawa, Shinichi', 'Ratom', 'Takahashi, Taku', 'Tanaka, Tomoyuki', 'Hazama, Kuroo', 'Pinoko', 'Unico', 'Sapphire']
animeVoices	[]
animeStaff	[['Tezuka, Osamu', 'Original Character Design'], ['ravex', 'Music']]
