animeTitle	Ooedo Forty Eight
animeType	OVA
animeNumEpisode	3
releaseDate	2007-09-29 00:00:00
endDate	2008-02-22 00:00:00
animeNumMembers	1232
animeScore	5.71
animeUsers	381
animeRank	
animePopularity	10619
animeDescription	"The action takes place in Ooedo Japan, when geishas and public houses appeared. Back then, girls raised in poor provincial families had little chances to get married successfully. The only opportunity to improve financial and social status for them was to move to Ooedo, the city of wealthy clans, and to become a servant or a geisha - and, perhaps, a lover of a rich feudal. Young and poor Ushizu has chosen this very path.

Alongside, this hentai is a sort of Japanese Kama Sutra. The end of each part contains the description of sexual positions."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
