animeTitle	Ocha-ken: Chokotto Monogatari
animeType	TV
animeNumEpisode	26
releaseDate	2003-10-06 00:00:00
endDate	2004-04-01 00:00:00
animeNumMembers	
animeScore	6.3
animeUsers	376
animeRank	
animePopularity	10980
animeDescription	"Ocha-ken is a children's program about tea-dogs and tea-cats, each representing a different blend. The episodes are very short and geared to teaching the audience various values. The lesson, or moral of the episode is displayed at the end. 

(Source: AniDB)"
animeRelated	['Ocha-ken: Hotto Monogatari']
animeCharacters	['Ryoku', 'Muha', 'Chai', 'Cafe', 'Ron', 'Hana', 'Aru', 'Sakura', 'Ran', 'Min']
animeVoices	[]
animeStaff	[['Matsuoka, Hiroki', 'Sound Director'], ['Mori, Chiyoko', 'Theme Song Lyrics']]
