animeTitle	Tong Zhi Zhe
animeType	ONA
animeNumEpisode	10
releaseDate	2015-12-31 00:00:00
endDate	2016-03-17 00:00:00
animeNumMembers	1516
animeScore	6.3
animeUsers	385
animeRank	7197
animePopularity	10164
animeDescription	A Jack of All Trades is a person who can competently do all kinds of jobs. Loser Zhang Dabao is a professional Jack of All Trades, but his living conditions are, shall we say, less than satisfactory. One day, a beautiful woman who is being harassed by a pervert approaches him for help. He accepts, and soon embarks on a mission like nothing the world has seen before.
animeRelated	[]
animeCharacters	['Dabao, Zhang']
animeVoices	[]
animeStaff	[]
