animeTitle	Kaitou Reinya
animeType	TV
animeNumEpisode	12
releaseDate	2010-01-09 00:00:00
endDate	2010-03-27 00:00:00
animeNumMembers	3220
animeScore	5.69
animeUsers	1431
animeRank	9792
animePopularity	8203
animeDescription	"Reinya appears to be an ordinary girl working at a convenience store but she is in fact, the Phantom Thief Reinya. Together with her assistant Chūtarō in their secret hideout right below the local convenience store, Reinya hatches plans to steal various treasures made of gold. They face an incompetent trio of a perverted police inspector, a policewoman who is a natural airhead, and a detective totally infatuated with Reinya, all of them in a police station beside Reinya's convenience store.

(Source: ANN)"
animeRelated	['Kaitou Reinya Pilot']
animeCharacters	['Reinya', 'Nocchi, Policewoman', 'Wappa']
animeVoices	['Tanaka, Reina', 'Noto, Arisa', 'Ogura, Yui']
animeStaff	[['Iwami, Hideaki', 'Director, Episode Director'], ['Mizushima, Seiji', 'Sound Director'], ['Yoshimatsu, Takahiro', 'Storyboard'], ['Ogura, Yui', 'Theme Song Performance']]
