animeTitle	Gun x Sword
animeType	TV
animeNumEpisode	26
releaseDate	2005-07-04 00:00:00
endDate	2005-12-26 00:00:00
animeNumMembers	69419
animeScore	7.27
animeUsers	28910
animeRank	2569
animePopularity	2052
animeDescription	"Van, a lanky and apathetic swordsman, is on a journey to kill the murderer of his fiancé. The only characteristic he has to go by is that the murderer has a claw for an arm, hence the murderer being referred to as The Claw Man. During his travels, Van happens to pass through the city of Evergreen, which is defending itself from bandits who aim to rob the city of its treasury. It is in this city that Van meets Wendy Garret, a timid young girl who is looking for her kidnapped brother. When the city pleads for Van's assistance to defend it, he refuses, claiming it has nothing to do with him and thus leaves the city on its own to deal with the peril. Soon after, Van comes across the raiding bandits himself and they eventually tick off the swordsman to a degree where he takes action against them for his own personal vendetta. Surprisingly, Van learns that the bandits had ties with The Claw Man, and in kidnapping Wendy's brother for a reason they did not disclose. After the bandits are dealt with easily, Van and, much to his chagrin, Wendy continue the journey in search of The Claw Man. Little do they know, however, that The Claw Man is involved with something more atrocious than either could fathom.

[Written by MAL Rewrite]"
animeRelated	['Gun x Sword', 'Gun x Sword-san']
animeCharacters	['Van', 'Garret, Wendy', 'Lundgren, Ray', 'Carmen 99', 'Fasalina', 'Kaiji', 'Pricilla', 'The Claw', 'Nero', 'Vivian']
animeVoices	['Hoshino, Takanori', 'Kuwashima, Houko', 'Sakurai, Takahiro', 'Inoue, Kikuko', 'Kurata, Masayo', 'Onosaka, Masaya', 'Chiba, Saeko', 'Horiuchi, Kenyuu', 'Satou, Masaharu', 'Kouda, Mariko']
animeStaff	[['Taniguchi, Gorou', 'Director, Storyboard'], ['Urakami, Yasuo', 'Sound Director'], ['Saitou, Hisashi', 'Episode Director, Animation Director, Key Animation'], ['Kamitsubo, Ryouki', 'Episode Director']]
