animeTitle	b'Mach Girl'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'A spin-off of Mach Go Go Go (aka: Speed Racer). The titular Mach Girl is, according to Anime News Network, ""a girl named Lip who wanders the land to compete in high-stakes races with her Mach Pink three-wheeler.""'"
animeRelated	[b'Mach GoGoGo (1997)']
animeCharacters	[b'Nuts', b'Lip', b'Wayne, Jean']
animeVoices	[b'\nMatsumoto, Marika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nArakawa, Masatsugu\n\nDirector\n\n', b'\nMasuda, Kenji\n\nBackground Art, Mechanical Design\n\n', b'\nMizuno, Aiko\n\nColor Setting\n\n', b'\nInaba, Koshu\n\nMusic\n\n']
