animeTitle	b'Qin Shi Ming Yue 3D: Dianying Longteng Wanli'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	158
animeRank	
animePopularity	
animeDescription	b'The movie reveals the events before Ge Nie and Tianming defeated 300 soldiers at Huangyang Chuan right at the start of season 1. The events will retell how Tianming and Ge Nie met. A new character and her relations to the Western Regions will be introduced as well.\n\n(Source: wuxiaedge.com)'
animeRelated	[b'Qin Shi Ming Yue: Bai Bu Fei Jian', b'Qin Shi Ming Yue: Kong Shan Niao Yu', b'Qin Shi Ming Yue Zhi: Luosheng Tangxia', b'Qin Shi Ming Yue Tebie Pian: Di Zi Jiang Xi', b'Qin Shi Ming Yue: Tian Xing Jiu Ge']
animeCharacters	[b'Jing, Tianming', b'Ge, Nie', b'Wei, Zhuang', b'Hua Li', b'Xiang, ShaoYu', b'Baifeng ', b'Gongshu, Chou', b'Shao Siming', b'Da Siming', b'Chilian']
animeVoices	[]
animeStaff	[]
