animeTitle	Digimon Adventure:
animeType	TV
animeNumEpisode	67
releaseDate	2020-04-05 00:00:00
endDate	2021-09-26 00:00:00
animeNumMembers	48348
animeScore	6.41
animeUsers	8711
animeRank	6635
animePopularity	2539
animeDescription	"In the year 2020, technology is everywhere. Every digital device around the world is connected by a singular network where data travels. Unbeknownst to humans, this network has become home to life forms known as ""Digimon.""

Fifth-grader Taichi Yagami is preparing for summer camp when strange occurrences begin in Tokyo; certain electronic systems have started going haywire. When he discovers that his sister and mother are trapped on an unstoppable train, he rushes to the nearby station. Suddenly, Taichi is transported to another world where he meets a strange creature by the name of Agumon, who somehow already knows his name. Taichi also receives a strange device called a ""Digivice,"" which allows him to communicate with the undigitized world.

Taichi discovers he is in the ""Network,"" and virus-like Digimon are attacking the areas that maintain Tokyo’s electronic systems. It is up to Taichi and his new partner Agumon to stop these cyberattacks before the whole world is threatened by the actions of mischievous Digimon.

[Written by MAL Rewrite]"
animeRelated	['Digimon Adventure']
animeCharacters	['Yagami, Taichi', 'Ishida, Yamato', 'Yagami, Hikari', 'Takaishi, Takeru', 'Agumon', 'Tailmon', 'Patamon', 'Gabumon', 'Tachikawa, Mimi', 'Izumi, Koushirou']
animeVoices	['Sanpei, Yuuko', 'Namikawa, Daisuke', 'Watada, Misaki', 'Han, Megumi', 'Sakamoto, Chika', 'Sonozaki, Mie', 'Matsumoto, Miwa', 'Yamaguchi, Mayumi', 'Kouno, Marika', 'Kobayashi, Yumiko']
animeStaff	[['Sakurada, Hiroyuki', 'Producer'], ['Mitsuka, Masato', 'Director'], ['Tsuzuki, Yuuichi', 'Episode Director, Storyboard'], ['Fujikawa, Chiai', 'Theme Song Performance, Theme Song Lyrics']]
