animeTitle	D4DJ: First Mix
animeType	TV
animeNumEpisode	13
releaseDate	2020-10-23 00:00:00
endDate	2021-01-29 00:00:00
animeNumMembers	18951
animeScore	7.65
animeUsers	7478
animeRank	1182
animePopularity	4102
animeDescription	"Having moved back to Japan from abroad, Rinku Aimoto transfers to Yoba Academy where DJing is popular. She is deeply moved by a DJ concert she sees there, and decides to form a unit of her own with Maho Akashi, Muni Oonaruto, and Rei Togetsu.

While interacting with the other DJ units like Peaky P-key and Photon Maiden, Rinku and her friends aim for the high stage!

(Source: Funimation)"
animeRelated	['D4DJ Petit Mix']
animeCharacters	['Aimoto, Rinku', 'Oonaruto, Muni', 'Akashi, Maho', 'Togetsu, Rei', 'Yamate, Kyouko', 'Izumo, Saki', 'Inuyose, Shinobu', 'Miyake, Aoi', 'Aoyagi, Tsubaki', 'Fukushima, Noa']
animeVoices	['Nishio, Yuuka', 'Mimura, Haruka', 'Kagami, Karin', 'Shizaki, Kanon', 'Terakawa, Aimi', 'Tsumugi, Risa', 'Takagi, Miyu', 'Tsunko', 'Katou, Rihona', 'Satou, Hinata']
animeStaff	[['Matsuura, Hiroaki', 'Producer'], ['Mizushima, Seiji', 'Director'], ['Nagasaki, Yukio', 'Sound Director'], ['Hyadain', 'Theme Song Composition']]
