animeTitle	Tenki no Ko CMs
animeType	Special
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	328
animeRank	
animePopularity	8015
animeDescription	Tenki no Ko received an assortment of collaboration commercials with original footage. So far: Suntory the beverage company, SoftBank the technology conglomerate, Baitoru the job search company, and Misawa Homes the real estate company have participated.
animeRelated	['Kimi no Na wa.', 'Suntory Minami Alps no Tennensui', 'Tenki no Ko']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
