animeTitle	Korashime
animeType	OVA
animeNumEpisode	2
releaseDate	2001-06-15 00:00:00
endDate	2001-09-14 00:00:00
animeNumMembers	2668
animeScore	5.8
animeUsers	796
animeRank	
animePopularity	8697
animeDescription	"Professor Kayama could have been happy with his job, except that all of the students on campus hate him…and he hates them. Miki Watase is a dark-haired vixen will do anything to raise her grades, but when Professor Kayama refuses play along, she’s determined to have revenge. She gathers her friends – the luscious Hinata, the slutty Arisa, and the beautiful but timid Sachie – and they mix drug- laced alcohol with a snap-shot camera to publicly humiliate Kayama.

However, these vivacious little co-eds are about to discover that even a wimpy professor like Kayama has his limits. Now he’s going to teach them a real lesson in humility that will have them each begging for forgiveness.

(Source: AniDB)"
animeRelated	['Korashime']
animeCharacters	['Kamijou, Arisa', 'Takano, Hinata', 'Watase, Maki', 'Furumi, Sachie', 'Kayama, Katsuyuki', 'Sawai, Rieko', 'Watase, Miki']
animeVoices	[]
animeStaff	[['Murakami, Teruaki', 'Director, Storyboard, Animation Director, Character Design'], ['Yoshida, Tomohiro', 'Sound Director'], ['Blue Gale', 'Original Creator'], ['Nishi, Shigenari', 'Editing']]
