animeTitle	Gekitou! Crush Gear Turbo
animeType	TV
animeNumEpisode	68
releaseDate	
endDate	
animeNumMembers	
animeScore	6.79
animeUsers	2836
animeRank	
animePopularity	6717
animeDescription	After losing almost all their members the Tobita Crush Gear club is facing extinction. Kouya who dreams of being a Crush Gear Fighting Champion doesn't want to see the club become extinct and will do whatever he can to keep the club running and become a Cush Gear Champion.
animeRelated	['Gekitou! Crush Gear Turbo', 'Crush Gear Nitro', 'Gekitou! Crush Gear Turbo: Kaizabaan no Chousen']
animeCharacters	['Manganji, Takeshi', 'Jin, Kyousuke', 'Marume, Kuroudo', 'Marino, Kouya', 'Oriza, Jirou', 'Tobita, Lilika']
animeVoices	['Sasanuma, Akira', 'Sakamoto, Chika', 'Shindo, Naomi', 'Matsumoto, Megumi', 'Shitanda, Michael', 'Neya, Michiko']
animeStaff	[['Ono, Manabu', 'Producer, Storyboard'], ['Iuchi, Shuji', 'Director, Storyboard'], ['Kitajima, Hiroaki', 'Script'], ['Miyaji, Masayuki', 'Storyboard']]
