animeTitle	Lu Shidai 2nd Season
animeType	ONA
animeNumEpisode	13
releaseDate	2014-11-26 00:00:00
endDate	2015-12-12 00:00:00
animeNumMembers	
animeScore	6.82
animeUsers	739
animeRank	
animePopularity	9175
animeDescription	Zhiquiang is a young boy who loves playing League of Legends with his friends. The series follows his crazy adventures.
animeRelated	['Lu Shidai']
animeCharacters	['Sun, Yanan', 'Wu, Jiu', 'Mao, Tiantian', 'Ye, Jiaoyang', 'Mao, Zhiqiang', 'Lu, Shaolong', 'Li, Xingzi']
animeVoices	[]
animeStaff	[['Shi, Juansheng', 'Director']]
