animeTitle	Princess Lover! Picture Drama
animeType	Special
animeNumEpisode	6
releaseDate	2009-10-23 00:00:00
endDate	2010-03-25 00:00:00
animeNumMembers	
animeScore	6.2
animeUsers	4622
animeRank	
animePopularity	4815
animeDescription	Specials included on the Princess Lover! Blu-ray/DVD volumes.
animeRelated	['Princess Lover!']
animeCharacters	['van Hossen, Sylvia', 'Hazelrink, Charlotte', 'Arima, Teppei', 'Houjouin, Seika', 'Fujikura, Yuu', 'Nezu, Haruhiko', 'Kobayashi, Father', 'Kaneko, Ayano', 'Takezono, Erika']
animeVoices	['Toyoguchi, Megumi', 'Yuzuki, Ryouka', 'Terashima, Takuma', 'Katou, Emiri', 'Matsuoka, Yuki', 'Shiraishi, Minoru', 'Kanemitsu, Nobuaki', 'Sasaki, Nozomi', 'Mizuhara, Kaoru']
animeStaff	[['Ricotta', 'Original Creator']]
