animeTitle	b'Taisei Kensetsu: Vietnam Noi Bai Kuukou'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	2355
animeRank	
animePopularity	
animeDescription	b'A 30-second animated commercial for the construction company Taisei. The commercial highlights Terminal 2 of N\xe1\xbb\x99i B\xc3\xa0i International Airport that Taisei built in Hanoi, Vietnam.'
animeRelated	[b'Taisei Kensetsu: Bosporus Kaikyou Tunnel', b'Taisei Kensetsu: Shin Doha Kokusai Kuukou', b'Taisei Kensetsu: Sri Lanka Kousokudouro', b'Taisei Kensetsu: Singapore']
animeCharacters	[b'Man', b'Father', b'Mother']
animeVoices	[b'\nHongo, Kanata\nJapanese\n', b'\nHoshino, Takanori\nJapanese\n', b'\nTsuji, Yuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinkai, Makoto\n\nDirector, Episode Director, Storyboard, Setting, Editing\n\n', b'\nTanji, Takumi\n\nBackground Art\n\n', b'\nTsuchiya, Kenichi\n\nKey Animation, Character Design, Animation Director\n\n']
